system:index,EVI2,GNDVI,GVI,MSR,RDVI,estimateLAI,.geo
0_910,1.4567833062078586,0.6415285762597227,3.579245283018868,1.3981628039237082,37.56368174221193,1.44,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_924,1.4433450465446027,0.6344703770197486,3.471512770137524,1.3764769470585538,36.18690335767064,1.542,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_926,0.9683774241416364,0.59167563688554,2.898066783831283,0.7749839948062015,28.008236785946234,0.861,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_938,0.9624707694062624,0.5403726708074534,2.3513513513513513,0.7689933689621838,26.384504793551017,0.559,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_963,1.0943288686235395,0.5553105475927967,2.497520661157025,0.9100460366360194,29.58225468561966,1.017,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_967,1.212285985165356,0.6190138346931536,3.249534450651769,1.0500190898810213,32.718271802381516,0.937,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_980,0.9494669106050092,0.5408560311284046,2.3559322033898304,0.7558601831293293,24.783947784737812,0.629,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1028,1.3542021820661438,0.5989924433249371,2.987437185929648,1.2410158184926265,29.135746942006286,1.443,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1034,0.47745802464539666,0.38920711486282783,1.274432379072063,0.3426901732747026,17.142910983404324,0.588,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1043,1.3936582158252355,0.6308492201039861,3.417840375586854,1.2992426696485484,32.257038497332786,1.339,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1046,1.2400997359929598,0.6035049288061336,3.044198895027624,1.0853092939622047,32.537285307923,0.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1052,1.1291094797318864,0.5458937198067633,2.404255319148936,0.94986671288573,28.734296473281418,1.127,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1058,1.4592796238744121,0.6669802445907808,4.005649717514125,1.4024959876520167,32.12997443720205,1.403,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1090,0.8975676601575883,0.5132575757575758,2.1089494163424125,0.7045393939286194,22.612269044910203,0.908,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1141,1.3464326708149579,0.6156351791530945,3.203389830508475,1.2295844389933601,34.435225885680445,1.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1153,1.6322070353153404,0.6317960254968129,3.4317718940936865,1.720544163254419,37.86789310134936,1.497,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1158,1.3758538758538759,0.628632175761871,3.385496183206107,1.2724535075156596,35.380381826024774,1.234,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1164,0.8663430253576409,0.4773371104815864,1.8265582655826558,0.6744442184976528,25.22663352231641,0.965,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1186,0.5933601902635538,0.5,2.0,0.43472699787853664,18.397244324249073,0.834,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1189,1.024130921978423,0.602577873254565,3.032432432432432,0.833128571693857,29.171196027690574,0.828,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1195,1.164694031730043,0.532266391326794,2.2759381898454745,0.991962459109778,25.751357254144303,0.981,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1216,1.3578274760383384,0.5903975993998499,2.8827838827838828,1.246690688016276,23.851575163818335,1.44,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1238,0.6255204409373885,0.39074399531341536,1.2826923076923076,0.46112699185626405,21.37448519441927,0.655,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1241,1.4783618219543524,0.6485403548941042,3.690553745928339,1.4343224778007382,29.17776972267251,0.942,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1251,1.3029516261273573,0.5981524249422633,2.9770114942528734,1.1686199808540045,35.18833515359674,1.197,"{""type"":""MultiPoint"",""coordinates"":[]}"
