system:index,B4,EVI2,MSR,NDGI,RDVI,estimateLAI,.geo
0_5257,688.0,1.1953079702065028,1.0288615205990383,0.019943019943019943,36.137112628029776,1.032,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5322,535.0,0.9096469765816149,0.7163316674009613,-0.15675675675675677,22.65721954140068,0.727,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5324,601.0,1.0964189597407592,0.9123906339375453,-0.009235936188077247,30.185853982220568,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5365,1248.0,0.5344374050609463,0.38732818293995863,-0.10052910052910052,19.101143908942653,0.461,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5368,588.0,1.2561564101288494,1.106032798809141,0.01507537688442211,35.731231452699866,1.153,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5371,623.0,1.023493673708266,0.8324697611041649,-0.015484922575387123,28.19271355520595,1.046,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5396,1396.0,0.3035126031757782,0.21240011552070262,-0.05918057663125948,11.171724333958815,0.134,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5407,951.0,0.9596334819217435,0.7660187689613804,-0.06079196876742889,32.19572911418176,0.941,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5424,844.0,0.608759816581458,0.4473378077898124,-0.10688524590163935,18.079457092500625,1.088,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5437,1346.0,0.5912866531007106,0.43300098661426056,-0.048286604361370715,22.118482104526805,0.784,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5452,1038.0,0.5689028926524003,0.4148946187874215,-0.16694772344013492,18.630933461400485,0.302,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5454,785.0,1.0498587877471215,0.8607580127909177,-0.004478566858605247,32.65966948466939,1.227,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5484,662.0,0.957586717080388,0.7640245115477816,-0.005315110098709187,26.795576855433247,0.881,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5504,650.0,1.1534713763702802,0.9783442960835088,-0.03256552819698173,33.5129392108822,1.078,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5507,1130.0,0.7413509060955519,0.5600090764428489,-0.09868740884783665,26.007532612251392,0.954,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5512,846.0,1.0036610225901736,0.8114424851671548,-0.0695322376738306,32.06882782996022,1.056,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5523,1046.0,0.7600657354149548,0.5765974932847445,-0.07613168724279835,25.7360968543128,0.695,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5547,796.0,1.0109121309455713,0.8190781253510397,-0.0224791265253693,31.383288342237364,0.866,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5554,756.0,1.0253704638252972,0.8344152651674498,0.0,31.125084884878774,0.916,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5567,612.0,0.9463251537405217,0.7526823513793368,-0.007407407407407408,25.400673642815622,1.188,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5573,976.0,0.8493455861876915,0.6583123951776999,0.024,28.232369129541123,1.181,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5589,753.0,0.7953516852137799,0.6084108280430931,0.023346303501945526,22.99352805616084,1.078,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5603,1108.0,0.8802998521371342,0.6877130832175052,-0.024029574861367836,31.363271261782465,0.776,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5615,1346.0,0.3487235402489003,0.24549709011538207,-0.06825396825396825,12.662042295161141,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5621,695.0,1.1472877088578621,0.9710129594528127,0.007142857142857143,34.41077767254694,1.018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5626,868.0,0.8935179138914283,0.7005014169721894,-0.0028885037550548816,28.25161831189447,1.249,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5676,661.0,1.1778472973608696,1.0075500457228195,-0.0037965072133637054,34.73642537913625,1.129,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5686,1196.0,0.7032547619889035,0.5267952314995504,-0.16682926829268294,25.22222517087422,1.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5706,1130.0,0.6605399195864446,0.4903821449725897,-8.857395925597874E-4,22.873277272546957,0.882,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5714,908.0,0.6307200619824705,0.46546139236453893,-0.020224719101123594,19.491111537603715,0.856,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5725,728.0,1.036594014467401,0.8464399961386938,-0.013221990257480862,30.95829774675841,0.815,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5748,743.0,0.7313420301214937,0.5512769888375526,-0.13869731800766283,20.771612774982227,0.622,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5770,561.0,1.2515046841471713,1.09999575587382,0.04020530367835757,34.72446972041597,1.24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5841,698.0,1.144305879128409,0.9675009966756741,0.021723896285914507,34.368316462558774,1.114,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5843,723.0,0.9782931538042672,0.7851392079334442,-0.06637168141592921,28.73595662530581,0.997,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5850,940.0,0.7368188837414515,0.5560451779253329,-0.211340206185567,23.55854356967718,0.966,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5875,1366.0,0.5193232595422451,0.37537430017903567,-0.1591005515485787,19.379775442520785,0.459,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5886,878.0,0.8141005374644326,0.6255365331179545,-0.0940809968847352,25.499169197615153,0.784,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5934,794.0,0.8957848215558617,0.7027167505177433,-0.10201249132546843,27.10197033179752,0.899,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5939,1076.0,0.7185418857343149,0.5400477953284147,-0.08249496981891348,24.504887796306924,0.728,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5969,865.0,1.111478195204833,0.9293893729885516,-0.008158508158508158,36.846384608961706,1.163,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5997,815.0,0.8628632175761872,0.6711187979344305,-0.007416563658838072,26.278508575274888,0.975,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6023,1264.0,0.5341528555226283,0.3871015222078708,-0.15275877792977657,19.212189492825253,0.39,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6032,711.0,0.8639118904584078,0.6721429019881883,-0.07401812688821752,24.580428811319614,0.768,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6039,819.0,1.0481382646040944,0.8588796237071015,-0.0567741935483871,33.290869545074095,1.026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6041,731.0,0.6916564845522779,0.5168907648012302,-0.11773700305810397,19.35984411167044,0.597,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6044,601.0,1.2604889169132272,1.111689988844249,0.01957585644371941,36.295382211615156,1.001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6089,1130.0,0.6555960837012863,0.48621988868475446,-0.10297706198145437,22.68489636057959,0.536,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6142,935.0,0.942092886537331,0.7483376367219833,-0.08155002891844997,31.223951442534254,0.847,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6149,988.0,0.6554389354881208,0.4861029655752316,-0.04883227176220807,21.20677827476283,0.488,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6153,1142.0,0.5580223208928358,0.4061411467891551,-0.0850356294536817,19.139242101903985,0.485,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6173,630.0,0.9573855456377771,0.7638342073763938,-0.019417475728155338,26.13375160540432,1.178,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6197,1066.0,0.4666397451429084,0.33434920649657857,-0.14071696094168004,15.282141854109417,0.629,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6204,904.0,0.9081307211199934,0.7147202357019247,0.010399562123700055,29.388852653739317,1.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6309,735.0,1.06815578465063,0.8808016817268095,0.03732809430255403,32.29467490139058,0.964,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6339,834.0,0.8979803912709527,0.7048386492990724,-0.09090909090909091,27.856181555064744,1.153,"{""type"":""MultiPoint"",""coordinates"":[]}"
