system:index,B4,EVI2,GVI,NDVI,RDVI,estimatefAPAR,.geo
4_6056,763.0,1.3339743359332878,3.216949152542373,0.6605116796440489,44.28384781004448,0.443,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6087,833.0,1.2171267115844382,2.694648478488982,0.617363344051447,40.73662564339723,0.488,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6100,404.0,1.5337682055896082,3.428082191780822,0.7297658862876254,39.904249947588276,0.513,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6101,394.0,1.6514330565120519,3.390350877192983,0.7680306152487489,44.763733928080505,0.524,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6113,438.0,1.5751452261556032,3.395864106351551,0.7434094903339191,43.43700365434392,0.487,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6166,814.0,1.3826558615568396,3.3892339544513455,0.6778789077958053,48.191421831156106,0.439,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6168,1072.0,1.024397746405906,2.491279069767442,0.5413903743315508,37.01701010931535,0.462,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6192,1100.0,1.1831174317093776,2.523696682464455,0.6043877000539472,45.07046771314135,0.484,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6194,655.0,1.3886671987230648,3.420308483290489,0.680019540791402,43.51062400797377,0.512,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6198,1032.0,1.1353385797380946,2.372013651877133,0.5858747993579454,41.361267075915364,0.48,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6212,490.0,1.5955946180555556,3.929597701149425,0.7500637592450905,46.96740908268,0.458,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6228,900.0,1.176038062283737,2.344731977818854,0.6016817880061961,40.44716036496069,0.552,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6240,1003.0,1.1642022493029667,2.581981981981982,0.5971078529825267,42.13314190654492,0.48,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6273,586.0,1.5043752747033203,3.784574468085107,0.719885277246654,46.564948781963906,0.536,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6281,377.0,1.648840171983651,3.4372093023255816,0.7672121025007719,43.66373867082866,0.527,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6292,820.0,1.136852394916911,2.736342042755344,0.5864851235501765,36.934596212463326,0.457,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6311,946.0,1.2928835129213314,3.396396396396397,0.6455601348819783,47.1656678613088,0.476,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6313,896.0,1.1514497114737847,3.062717770034843,0.5921711424670004,39.25339874073499,0.451,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6322,739.0,1.305913426823243,3.07953216374269,0.650343032883842,42.28230123110238,0.528,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6334,1152.0,1.0293101894951802,2.339622641509434,0.5434007134363853,38.60057973972112,0.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6341,1028.0,1.114861652562518,2.5183150183150182,0.57782340862423,40.32362920011768,0.45,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6358,834.0,0.9426607519325368,1.769815418023887,0.5072378138847858,29.511477876246342,0.541,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6364,927.0,1.0911918209766212,2.8768699654775602,0.5684357541899442,37.257483969423426,0.469,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6366,882.0,1.2262644790923607,2.88259526261586,0.6208082545141874,42.34258186550477,0.528,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6403,895.0,1.001673557786966,2.2995495495495497,0.5320261437908497,32.90399979659584,0.485,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6408,1334.0,0.791839869871679,1.7020440251572326,0.4407880947390484,30.446302948571915,0.438,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6424,971.0,1.1871064181667834,2.691231343283582,0.6059253246753247,42.535785163559865,0.475,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6450,1132.0,0.9568208055413032,2.06,0.5132229628036982,35.000903019956894,0.485,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6463,973.0,1.1317025569779364,2.7895812053115425,0.5844544095665172,39.99564625035527,0.545,"{""type"":""MultiPoint"",""coordinates"":[]}"
