system:index,B8,GVI,NLI,RDVI,SGI,estimatefAPAR,.geo
8_2015,2490.0,4.102459016393443,0.9999038771382095,41.51396024550565,8.355704697986576,0.521,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2018,2688.0,3.817204301075269,0.999901186057934,42.24240392845999,7.529411764705882,0.526,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2030,2464.0,3.8888888888888893,0.9999140253480285,42.20182612684393,9.440613026819923,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2035,2630.0,4.323886639676114,0.9999019840141421,42.0455454023115,7.758112094395281,0.529,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2036,2454.0,4.1125,0.9999149836642439,42.22241233422166,9.5859375,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2042,2358.0,5.01530612244898,0.999907920624701,41.11307117292606,9.2109375,0.521,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2060,2864.0,4.413988657844991,0.9999010106423312,42.98411626129501,7.054187192118227,0.535,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2064,3072.0,3.822605965463108,0.9998872608584535,42.30983439545087,5.774436090225564,0.529,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2069,3046.0,4.043046357615894,0.9998825261532888,41.73553539929063,5.588990825688073,0.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2086,2558.0,4.761261261261262,0.999924506514828,43.63485254365183,10.356275303643725,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2126,2502.0,4.462882096069869,0.9999086304308586,41.96849265695279,8.748251748251748,0.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2128,2620.0,3.8608534322820036,0.9999140529914293,43.06294009476697,8.88135593220339,0.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2131,2424.0,4.201716738197425,0.9999087821670498,41.55384626810262,9.044776119402986,0.512,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2159,2554.0,4.149193548387097,0.9999012760227359,41.619777047053645,7.931677018633541,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2163,3090.0,4.300171526586621,0.9998963198250632,43.3403867234582,6.242424242424242,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2175,2634.0,4.07514450867052,0.9998881577506102,40.85662814690027,6.788659793814433,0.519,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2176,3098.0,4.705340699815838,0.9998976880308019,43.516534458128355,6.3095723014256615,0.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2182,2632.0,4.9818181818181815,0.9999286917637977,44.44956866180161,10.65587044534413,0.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2185,2382.0,4.178260869565217,0.9999097666975669,41.39290098200219,9.3046875,0.525,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2231,2530.0,4.609756097560975,0.9999240760595413,43.43014004756406,10.411522633744855,0.526,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2253,2492.0,4.689497716894977,0.9999194887730315,42.81558507494663,9.968,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2257,2376.0,4.033898305084746,0.9999078934596562,41.21382857926269,9.138461538461538,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2260,2470.0,4.0718685831622174,0.9999236207438847,43.02718771570947,10.600858369098713,0.533,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2273,2442.0,4.55,0.9999221945953415,42.73774192551062,10.525862068965518,0.513,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2284,2436.0,4.2727272727272725,0.9999143966904547,42.07059035110758,9.590551181102363,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2296,2490.0,4.413043478260869,0.9999177466451518,42.65857590638318,9.764705882352942,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2332,2658.0,3.904059040590406,0.9999085670546717,42.766715433972706,8.229102167182663,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2341,2596.0,3.870544090056285,0.9999115663236251,42.71700159530993,8.711409395973154,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2351,3086.0,4.423550087873462,0.9999038204491585,44.1446933428991,6.737991266375546,0.535,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2378,2688.0,4.333333333333333,0.9999086590399733,42.92241833848434,8.145454545454545,0.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2410,2576.0,4.40041928721174,0.9999207358485989,43.410314926950974,9.79467680608365,0.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2417,2806.0,4.40655105973025,0.9998857010197755,41.28887863301084,6.235555555555556,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
