system:index,B8,GNDVI,GVI,NLI,RDVI,estimatefAPAR,.geo
2_2719,2580.0,0.575091575091575,2.706896551724138,0.9998341583355266,36.23740367751747,0.414,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2753,2094.0,0.5626865671641791,2.573378839590444,0.9998102731610407,33.49308069114077,0.416,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2770,2098.0,0.6454901960784314,3.6415929203539825,0.9997991842883968,32.858177711487365,0.424,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2795,2192.0,0.651846269781462,3.7445887445887447,0.9998414232781054,35.70249419468793,0.415,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2818,2426.0,0.6082200861783228,3.1049069373942473,0.9998019048059151,33.59806309598706,0.412,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2838,2046.0,0.6161137440758294,3.2098765432098766,0.9998437814631658,35.287996978017986,0.429,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2861,1672.0,0.6612021857923497,3.903225806451613,0.9998340377192204,33.00114589301561,0.427,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2898,1948.0,0.6749785038693035,4.1534391534391535,0.9998645572378742,36.011342380496615,0.421,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2908,2166.0,0.6279594137542277,3.375757575757576,0.9998354625867072,35.23543741968786,0.416,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2948,2350.0,0.6376306620209059,3.519230769230769,0.9998457339461003,36.51702062585403,0.429,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2961,1898.0,0.6390328151986183,3.5406698564593304,0.9998623236438047,35.61796357154851,0.432,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3022,2126.0,0.6674509803921569,4.014150943396227,0.9998601829302826,36.62737079786497,0.41,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3047,1776.0,0.6398891966759003,3.5538461538461537,0.9997907754811688,31.50932571220157,0.425,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3089,1662.0,0.6595107338991513,3.873900293255132,0.999838550107567,33.144014986766024,0.416,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3099,2060.0,0.6599516518936341,3.8815165876777256,0.9998506097079656,35.750555655839875,0.41,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3130,1720.0,0.6522574447646494,3.751381215469613,0.9998492541969694,33.96138553811599,0.413,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3142,2220.0,0.6347569955817378,3.475806451612903,0.9998506726224484,36.40481650284579,0.431,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3145,2320.0,0.6500711237553343,3.715447154471545,0.9998547222063795,37.04823040141135,0.431,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3147,1804.0,0.6223021582733813,3.295238095238095,0.9998224109404693,33.11524852183904,0.418,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3149,1792.0,0.6357827476038339,3.4912280701754383,0.9998486691761843,34.337542580488055,0.424,"{""type"":""MultiPoint"",""coordinates"":[]}"
