system:index,B2,GVI,MSR,RDVI,SGI,estimateLAI,.geo
1_827,247.0,3.397759103641457,1.006400016357911,26.653483135704914,4.0256410256410255,1.476,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_832,261.0,3.8965517241379306,1.2293496809607953,32.496256710081305,4.97,1.479,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_839,288.0,3.2572614107883817,1.3907901282475434,34.47929307232555,5.715877437325905,1.556,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_840,442.0,3.257575757575758,1.1445321175662821,37.596610425187464,4.599018003273322,1.543,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_850,389.0,2.8706624605678233,1.2109830879360979,35.902740367552234,4.888446215139442,1.508,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_851,304.0,3.539614561027837,1.1375138636372346,32.577224280095834,4.568965517241379,1.545,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_865,265.0,3.417840375586854,1.1372789160632601,30.69167763173013,4.567961165048544,1.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_872,252.0,3.345415778251599,1.6741124121813684,36.37117329829043,7.150877192982456,1.526,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_887,274.0,2.921225382932166,0.9341994076731092,27.552192175999615,3.741127348643006,1.539,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_897,199.0,3.132564841498559,1.3174957425751472,28.29558643393368,5.370786516853933,1.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_906,300.0,3.338028169014085,1.3072617515408729,34.6004189089713,5.323456790123457,1.526,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_937,266.0,3.3268817204301078,1.390796748138388,34.14163789627367,5.715909090909091,1.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_943,262.0,3.388768898488121,1.4198982997183636,34.54639100641174,5.855907780979827,1.475,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_945,182.0,3.02088772845953,1.5437350953458415,30.87771155487631,6.470588235294118,1.544,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_946,245.0,3.3446808510638295,1.6535597431271125,36.2802130554411,7.041379310344827,1.55,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_962,449.0,3.0381791483113068,1.0521530918535995,35.94739765515827,4.211332312404288,1.473,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_978,232.0,3.4061696658097684,1.5528631506917279,32.6335317586527,6.517110266159696,1.445,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1019,249.0,3.533333333333333,1.2067091374694818,31.582578413727703,4.869565217391305,1.479,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1031,276.0,3.071428571428571,1.4260811126624335,35.717938250479065,5.885869565217392,1.533,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1057,317.0,3.4126394052044606,1.3946397467903626,37.12014693484994,5.734299516908212,1.526,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1074,240.0,3.563968668407311,1.1143765594836974,29.340969191870254,4.470588235294118,1.462,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1077,227.0,3.5776699029126213,1.4164042062382065,33.255319148936174,5.8390092879256965,1.547,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1085,269.0,3.7665198237885464,1.4216726956767816,35.66538019775777,5.86449864498645,1.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1099,358.0,3.2941176470588234,1.1923923832516656,34.82516828177582,4.806584362139918,1.456,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1116,177.0,3.257627118644068,1.3839584557101736,26.93085255293945,5.683257918552036,1.488,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1126,225.0,3.4912280701754383,1.704493615131253,34.2763681828685,7.314285714285714,1.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1170,248.0,3.691466083150985,1.5527861887020549,36.49762218822286,6.5167173252279635,1.54,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1181,225.0,3.5285714285714285,1.6590659958451996,35.047437747661185,7.070631970260223,1.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
