system:index,B4,MSAVI2,NDGI,NDVI,RDVI,estimatefCOVER,.geo
0_735,2046.0,0.3992601509862652,-0.2113676731793961,0.24944974321349964,18.41878526858814,0.126,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_740,1330.0,0.4899827646368067,-0.1271186440677966,0.324530218384967,20.365402502675654,0.196,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_743,1856.0,0.3942169043834838,-0.21465968586387435,0.24552845528455283,17.222031645068473,0.129,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_751,1880.0,0.3766189029997804,-0.21212121212121213,0.23202614379084968,16.235199393490838,0.057,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_755,2136.0,0.33619901037354794,-0.16403269754768393,0.2020918939110945,14.787272541337845,0.024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_784,1912.0,0.4219703882436079,-0.21473951715374842,0.2674329501915709,19.3219149793035,0.133,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_793,2046.0,0.29493315858189817,-0.2544451256897609,0.17299919159256266,12.169112868374327,0.009,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_799,2058.0,0.3287311371532269,-0.251063829787234,0.19672131147540983,14.081728656923238,0.113,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_828,1804.0,0.41386572760120544,-0.2222222222222222,0.2609586235149529,18.233520953399264,0.174,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_873,1834.0,0.39864922491460675,-0.21056105610561057,0.24897624897624898,17.39985973377713,0.063,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_928,2220.0,0.32148255936363057,-0.21777290181020295,0.19155134741442098,14.195492857945117,0.021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_935,1908.0,0.39844897739749285,-0.16983445738810546,0.24881889763779527,17.734347651215515,0.098,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_949,2378.0,0.28671198137044485,-0.22388059701492538,0.16736694677871147,12.649221364196618,0.005,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_970,1378.0,0.46040555358649726,-0.07909162098668755,0.2990844354018311,18.754287404019205,0.179,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1008,2098.0,0.3591584966902701,-0.24068598462448257,0.21891288160833955,16.044985159588254,0.083,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1013,1794.0,0.4465997611946477,-0.2016075016744809,0.2875297855440826,20.404487973674605,0.136,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1017,1990.0,0.3976635097997132,-0.19807344972907887,0.24820551567812618,18.059403301356827,0.129,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1018,1506.0,0.499293550614766,-0.18396226415094338,0.33274257864421797,22.35574541641623,0.204,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1019,2298.0,0.35735044028206175,-0.2564242755604155,0.21756894790602654,16.674924750172096,0.068,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1050,2208.0,0.3184850227912648,-0.22056384742951907,0.1894273127753304,13.981737616767845,0.02,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1107,2294.0,0.2803949539484165,-0.21891604675876727,0.16307916818679313,12.074467953454226,0.002,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1271,2238.0,0.28449431628814636,-0.22495894909688013,0.16585911293328365,12.149675325317233,0.037,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1371,1876.0,0.4328528580317652,-0.19186785260482847,0.2762345679012346,19.88888888888889,0.14,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1429,1534.0,0.47640794480957993,-0.22426177174780526,0.31272401433691754,20.89408346911481,0.172,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1467,1756.0,0.4965237976039134,-0.14322916666666666,0.3302822273073989,23.917542049642453,0.196,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1482,1546.0,0.3775694422788547,-0.2115987460815047,0.2327543424317618,14.775776568458003,0.148,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1524,2424.0,0.34234601936759645,-0.20897755610972568,0.20654664484451718,16.145026038807764,0.045,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1566,1744.0,0.4348273246073404,-0.1767881241565452,0.27784679089026915,19.30985223596341,0.11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1593,2372.0,0.19699421335599254,-0.20345002536783358,0.1092752534735261,7.974847805544141,0.021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1596,2258.0,0.2701685233528224,-0.25583982202447164,0.156203288490284,11.42742093290859,0.036,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1627,1962.0,0.4606585414721849,-0.15683962264150944,0.29928571428571427,22.39649207226116,0.117,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1637,2366.0,0.262898164685339,-0.24986793449550979,0.15136298421807748,11.30267042251774,0.013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1686,2174.0,0.393043193712856,-0.19581958195819582,0.24461431549687282,18.55847397335236,0.129,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1696,2298.0,0.3172583770797246,-0.2197452229299363,0.1885593220338983,14.190889892187995,0.022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1740,1692.0,0.39867808566623353,-0.17909407665505225,0.24900133155792276,16.71464908420124,0.058,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1776,2366.0,0.26335709835984744,-0.22527187985499741,0.15166726425242022,11.327422723530164,0.007,"{""type"":""MultiPoint"",""coordinates"":[]}"
