system:index,B8,GVI,NLI,RDVI,SGI,estimatefCOVER,.geo
3_9128,1986.0,3.8203883495145634,0.9998367354389054,34.63661320053487,6.167701863354037,0.385,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9130,1578.0,4.844444444444444,0.9998682862108513,33.878590552421144,9.621951219512194,0.382,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9132,1722.0,3.629032258064516,0.9998388142664886,33.489013473935294,7.205020920502092,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9137,1912.0,3.085470085470085,0.9998063509238538,32.72935905873212,5.401129943502825,0.385,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9151,1876.0,3.466666666666667,0.9998318025088702,33.902144958407085,6.337837837837838,0.388,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9153,1432.0,4.637795275590551,0.9998624903389711,32.55081606030777,10.156028368794326,0.374,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9157,2030.0,3.2379958246346554,0.9998277223806826,34.29814402322894,5.71830985915493,0.377,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9162,1428.0,4.534883720930233,0.9998372030303774,31.609323148592892,8.602409638554217,0.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9165,2150.0,2.944954128440367,0.9998057516965903,33.36577169865184,4.788418708240535,0.385,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9178,2300.0,2.599374021909233,0.9997856562444063,32.365678532102336,4.056437389770723,0.386,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9189,1592.0,4.289036544850498,0.9998429771531758,32.91571728588706,8.0,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9201,2404.0,3.4029304029304033,0.9998131409007578,34.353975784091034,4.451851851851852,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9209,1574.0,3.981012658227848,0.9998345226847201,32.457530516661656,7.678048780487805,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9268,1754.0,4.084057971014492,0.9998686912482717,35.09193301574004,8.683168316831683,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9279,1582.0,3.913043478260869,0.9998585641221927,33.49989181420424,8.937853107344633,0.382,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9291,1908.0,2.99163179916318,0.9998187208614384,33.35622984848698,5.781818181818182,0.377,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9303,1616.0,4.065830721003135,0.9998361201836373,32.773473213074126,7.5514018691588785,0.386,"{""type"":""MultiPoint"",""coordinates"":[]}"
