system:index,EVI2,GNDVI,GVI,MSR,RDVI,estimateLAI,.geo
0_1064,1.1532575426322693,0.557911268158618,2.523978685612789,0.9781847714857342,29.593315996454294,1.073,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1073,1.0349127182044886,0.5667979400181763,2.6167832167832166,0.8446223404662995,31.567326696505315,1.092,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1094,0.9165954666532644,0.48498143773202834,1.8833551769331587,0.723067283566636,26.903437841622804,0.978,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1099,1.117460594427965,0.5171914585595367,2.1424287856071964,0.9363761960963544,29.829199915657917,1.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1120,1.0079259632565172,0.506710408589323,2.0544135429262393,0.8159433169976157,30.67487167253299,1.245,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1123,0.9136504956883911,0.5049980007996802,2.0403877221324715,0.7202091433472112,24.830769556325333,0.7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1144,1.3010480664980122,0.5708154506437768,2.66,1.1661735138967269,30.562297918416636,0.953,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1190,1.3705383553539736,0.6270121711817825,3.362105263157895,1.264666172151456,33.521290223124474,1.355,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1219,1.1371804086661876,0.5701179554390564,2.652439024390244,0.9595263687288288,22.800546060615556,1.381,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1232,1.02592566067464,0.5695714973519499,2.646532438478747,0.8351481125623955,24.92482548103738,0.809,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1235,1.064609721095651,0.5445705024311183,2.391459074733096,0.876993702824712,27.594063966053426,1.029,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1238,1.057644730331519,0.5156414762741652,2.1291727140783743,0.8693120099650771,29.22561676134722,1.326,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1267,1.0786273529901715,0.5367070563079116,2.316923076923077,0.8924574893078073,29.590607646915693,1.196,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1288,0.7886375671382101,0.5169350360910605,2.1402298850574715,0.6023948242965373,19.143350305163857,0.447,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1298,1.2777635537348782,0.576271186440678,2.72,1.1346645809239504,31.97198798998999,1.399,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1363,0.9107103904602633,0.516,2.1322314049586777,0.7173864860340702,22.23922775708561,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1367,0.6950920245398773,0.40210526315789474,1.3450704225352115,0.5198113664515659,21.17479604212936,0.932,"{""type"":""MultiPoint"",""coordinates"":[]}"
