system:index,EVI,GVI,MSR,RDVI,SGI,estimatefAPAR,.geo
1_8356,10.475113122171946,4.239057239057239,2.0524359566518475,33.462594218616914,9.317365269461078,0.435,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8358,9.720372836218376,3.9436201780415434,1.8438316829194898,33.74426193703477,8.087378640776699,0.434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8364,8.756585879873551,4.371757925072046,2.037716703755837,36.56502383500127,9.227722772277227,0.434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8367,9.255464480874316,3.936305732484076,1.8193470784417354,32.43706712670298,7.948717948717949,0.413,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8381,8.66622864651774,4.257950530035336,1.9672771572286016,32.40287469458758,8.804733727810651,0.434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8385,7.128060263653484,4.417721518987341,1.94048714441411,34.642497280090055,8.646464646464647,0.42,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8389,6.269497400346621,4.48,1.8888021159253223,33.72419849851427,8.345177664974619,0.42,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8395,8.868144690781797,4.294117647058823,2.0,34.871191548325385,9.0,0.422,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8411,9.630350194552529,4.156923076923077,1.9622405557192084,34.368002769357716,8.774869109947645,0.411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8417,8.624612202688729,3.9843342036553526,1.8144558667220456,35.97301314066706,7.921161825726141,0.42,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8420,4.955470737913486,5.393382352941177,2.0996346246985036,35.556322691377034,9.607734806629834,0.419,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8422,6.9879518072289155,4.621262458471761,2.032433375016349,34.816485079086604,9.195652173913043,0.411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8423,10.260695187165776,4.3229813664596275,2.0944173917578426,35.28036526554029,9.575418994413408,0.436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8424,8.341148886283705,4.533101045296167,2.1022963147066442,33.98708690724152,9.624242424242425,0.415,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8435,7.939618644067796,4.119760479041916,1.8467991504220318,34.200932737340835,8.104265402843602,0.415,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8440,7.87819253438114,4.27906976744186,1.9267794135959504,35.61807045308307,8.566037735849056,0.414,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8441,7.604267701260912,4.571428571428571,2.063499100370019,35.58127002397543,9.385026737967914,0.436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8463,10.116279069767442,4.128919860627177,1.96890068164717,32.23450718291189,8.81437125748503,0.403,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8470,6.3180933852140075,4.975206611570248,2.136356914300021,32.54627301252249,9.83673469387755,0.428,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8490,8.169425511197662,3.9974025974025977,1.7966297951967318,36.021524543177605,7.821138211382114,0.434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8492,11.136986301369863,4.323529411764706,2.1363922780384366,36.41312602952025,9.83695652173913,0.435,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8496,7.410337552742616,4.174193548387096,1.8390670135693679,33.088605227415215,8.06030150753769,0.419,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8512,8.195592286501377,4.268929503916449,1.9429482166712657,37.622744474870686,8.660944206008583,0.435,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8519,9.540023894862605,4.236151603498542,2.004184686090505,35.754726977745655,9.025125628140703,0.422,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8568,12.084019769357496,3.8856304985337244,1.8934165438945034,33.96962055489333,8.371859296482413,0.429,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8569,8.184389140271493,3.8381502890173413,1.7155937360376734,33.18772422828838,7.3744493392070485,0.421,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8576,7.420477137176938,4.763888888888889,2.1527955468883553,34.929352422366314,9.940119760479043,0.414,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8594,7.3841059602649,4.277777777777778,1.8899218590903721,32.43219447621284,8.351648351648352,0.415,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8595,12.510373443983402,3.8949880668257757,1.9112208112010756,37.77778925060183,8.475206611570249,0.43,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8597,6.454102355808286,4.532307692307692,1.933065088503344,35.469103448662445,8.602870813397129,0.408,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8608,7.719033232628398,4.332307692307692,1.9436372059070048,34.86793501023412,8.665,0.433,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8621,7.647619047619047,4.290697674418604,1.9162772325683066,35.60984363372698,8.504672897196262,0.407,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8643,8.647260273972602,4.490259740259741,2.099670070419519,35.06230585560736,9.607954545454545,0.431,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8644,6.768045417680454,5.116279069767442,2.2716186165402936,37.19927273084683,10.703488372093023,0.416,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8726,9.77859778597786,3.9427792915531334,1.8457361588373378,35.22046086569221,8.098214285714286,0.432,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8739,6.462264150943397,4.50354609929078,1.920183646189487,32.900009290323084,8.527472527472527,0.417,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8754,6.687782805429864,4.5719063545150505,1.9768611199818467,34.32571317076703,8.861702127659575,0.423,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8775,7.591836734693878,3.9595375722543356,1.7434131641941366,33.74852534501268,7.526315789473684,0.405,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8780,11.728187919463087,4.23489932885906,2.1031644541708756,33.6891922205604,9.62962962962963,0.419,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8795,6.650449101796408,3.9806763285024154,1.6898118371548307,36.68013141883874,7.235087719298246,0.409,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8827,8.895881006864988,3.7819148936170217,1.7201428188116357,34.41984347282505,7.399176954732511,0.422,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8844,8.246828143021915,4.348837209302325,1.990726407487727,33.79944133616518,8.944444444444445,0.41,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8851,8.56132075471698,4.124223602484472,1.8867513459481289,33.77657683746449,8.333333333333334,0.412,"{""type"":""MultiPoint"",""coordinates"":[]}"
