system:index,EVI2,GVI,MSR,NDGI,RDVI,estimatefCOVER,.geo
0_1327,0.7164019909931263,2.163141993957704,0.5382138001315858,-0.14414996767937943,22.150883310151304,0.118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1329,0.872764275370827,2.2494117647058824,0.6805150637068397,-0.0700218818380744,29.17151933148069,0.282,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1373,0.6539221606192019,1.1664596273291927,0.484858257717554,0.008771929824561403,18.927964763772657,0.233,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1385,0.8928156782612733,1.7222222222222223,0.6998337828843411,0.029797377830750895,27.333854619109204,0.345,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1400,0.4588869757317826,1.4192949907235621,0.32836240714236803,-0.1564945226917058,17.677842584808108,0.184,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1434,0.8793239483410158,2.4323258869908018,0.686806421655856,-0.09350804050029779,28.5118930505461,0.307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1443,0.8332283927297148,2.1097410604192355,0.6432328297482108,-0.07048710601719198,27.012428552358937,0.237,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1493,0.9727186354793466,2.4916666666666667,0.779395080184665,-0.0488771466314399,29.905130124091,0.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1494,0.7701766152470378,2.204481792717087,0.5856499343441838,-0.1206896551724138,24.367444628511567,0.206,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1529,0.32761219993041873,1.380952380952381,0.22998345683375762,-0.22294172062904719,11.763319144817487,0.01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1542,0.5548810562658877,1.4698544698544698,0.4036200531950743,-0.11254612546125461,19.548933577566334,0.253,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1552,0.8053055423969682,2.604534005037783,0.6174324565097349,-0.15889830508474576,28.109564633101087,0.278,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1579,1.065978000568251,2.3662456946039034,0.8783714174009316,0.023501762632197415,34.24987124901362,0.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1595,1.2056079864710054,2.9965635738831615,1.041680381784085,0.021052631578947368,32.921880384394555,0.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
