system:index,GVI,MSAVI2,NLI,RDVI,SGI,estimatefAPAR,.geo
0_8420,2.8097447795823665,0.7721754200545092,0.9997226072838581,28.240604562079508,4.390374331550802,0.334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8424,3.498583569405099,0.8431573542095521,0.999802537120444,31.241077114791103,6.377510040160643,0.333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8460,4.163346613545817,0.8741859626290989,0.9998059268510917,29.66212521682055,7.950920245398773,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8461,2.741007194244604,0.8143503923890876,0.9996431849716165,24.121364536203217,5.38860103626943,0.265,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8462,3.4147727272727275,0.8152668575262396,0.9997623388178964,29.529066688056375,5.414634146341464,0.296,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8492,3.2044728434504792,0.7468886603382998,0.9996155153969919,24.20712373035143,3.951951951951952,0.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8529,2.0582959641255605,0.6905636154672266,0.9996976174115048,27.299569911579614,3.2322274881516586,0.279,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8545,3.29126213592233,0.8476134370669115,0.9997702558689958,28.754421467431776,6.564356435643564,0.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8552,2.9292035398230087,0.7702204445631651,0.9997413288091235,29.27249768774644,4.352941176470588,0.241,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8563,3.4911032028469755,0.8525650959377344,0.9997664534193856,28.276652220046856,6.78494623655914,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8574,1.9131121642969986,0.6810690851445997,0.9996542116201361,25.468763117529722,3.1360544217687076,0.321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8588,3.3857566765578637,0.8456933369022863,0.9997912768364892,30.26359382775994,6.482456140350878,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8596,2.634888438133874,0.7661330431910756,0.9997390776113334,29.19955050055814,4.276849642004773,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8600,1.6162310866574967,0.5945738549457928,0.9995738418488963,21.875758765099363,2.4669260700389106,0.218,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8622,3.501347708894879,0.7580289158447613,0.9997103220014742,27.799009993264022,4.133663366336633,0.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8631,2.9173553719008263,0.7186349512103334,0.9996044468089735,23.942897674821218,3.555,0.286,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8642,3.1631701631701628,0.7944671643087986,0.9997699177126687,30.581612464045584,4.866485013623978,0.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8668,3.0210526315789474,0.7715391798187738,0.9997010876896519,27.21332878790649,4.378223495702006,0.194,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8704,3.019138755980861,0.8195988522102198,0.9997853121635538,30.922356526170812,5.544554455445544,0.238,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8736,2.4356164383561643,0.6976830456883363,0.9995180860769473,21.652844681297804,3.308707124010554,0.238,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8755,2.269135802469136,0.7106474215770504,0.9995631242660517,22.775759218238893,3.4569190600522193,0.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8763,2.75809199318569,0.7683186751837638,0.9997900120958786,32.51807911404938,4.317025440313111,0.318,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8780,3.154228855721393,0.82985557167558,0.9995927538871211,22.171034244431592,5.880281690140845,0.272,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8782,3.9897610921501707,0.8624765353072235,0.9998119425816728,30.92209869353547,7.27363184079602,0.303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8793,2.27063339731286,0.7493580338700667,0.9997059272193972,27.662993354189584,3.990632318501171,0.324,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8799,3.956937799043062,0.8648084388016741,0.999739155385137,26.12789058968723,7.4,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8816,0.9547511312217194,0.425831597589422,0.9991144754695422,12.221485420453316,1.7419354838709677,0.077,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8862,4.259036144578313,0.8201181201634427,0.9997940193451258,31.550729685528996,5.560509554140127,0.275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8874,3.7777777777777777,0.8753699761707594,0.9997930700540639,28.64384260796854,8.026666666666667,0.312,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8875,3.8780487804878048,0.8642438119836697,0.9998061412414103,30.34497668581891,7.368421052631579,0.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8882,4.1417004048583,0.8786981938276313,0.9998090578492722,29.573940852177447,8.246753246753247,0.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8887,3.8085106382978724,0.7823855979447671,0.9996791788719168,26.112102825921934,4.596610169491526,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8911,2.0195488721804513,0.6842091466658076,0.9996855703055374,26.73131515076707,3.167192429022082,0.256,"{""type"":""MultiPoint"",""coordinates"":[]}"
