system:index,B4,B8,NDGI,NLI,RDVI,estimatefCOVER,.geo
5_9718,512.0,2540.0,0.14737718567860117,0.9998412922776294,36.70926474277903,0.447,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9724,575.0,2694.0,0.13922155688622753,0.999841558753252,37.061542989975436,0.447,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9742,517.0,2572.0,0.14119601328903655,0.9998437051493108,36.9745478678122,0.443,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9746,387.0,2420.0,0.18268215417106654,0.9998678456293527,38.37215343043042,0.437,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9749,465.0,2530.0,0.14522058823529413,0.999854718485823,37.73302667651091,0.45,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9751,448.0,2226.0,0.18766999093381687,0.9998191916737765,34.38357698803524,0.443,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9756,502.0,2543.0,0.13819742489270387,0.9998447586964122,36.98702120033756,0.45,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9785,459.0,2350.0,0.18689105403011513,0.999833784751978,35.679245283018865,0.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9788,359.0,2244.0,0.21444201312910285,0.9998574235562894,36.946582282725196,0.444,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9820,407.0,2219.0,0.2019607843137255,0.9998346996000299,35.3598840689687,0.436,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9829,348.0,2173.0,0.21621621621621623,0.9998526134743896,36.34765907878711,0.439,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9843,418.0,2303.0,0.210576015108593,0.9998423898524705,36.1365829556476,0.439,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9854,584.0,2739.0,0.1049808429118774,0.9998443228142383,37.38368459111789,0.449,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9868,461.0,2615.0,0.12606635071090047,0.9998651787784963,38.83761331573323,0.443,"{""type"":""MultiPoint"",""coordinates"":[]}"
