system:index,B4,EVI2,GVI,NDVI,RDVI,estimatefCOVER,.geo
1_3109,1845.0,0.47847660781028484,1.1373555840821568,0.28695652173913044,20.642926991650402,0.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3115,2057.0,0.4527734201222225,1.1671677690920026,0.2732732732732733,20.560976478605138,0.128,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3123,1591.0,0.4755739815008831,1.3633360858794386,0.2854255558050752,19.046676387975165,0.159,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3177,2142.0,0.42361285320075714,1.0177975528364849,0.25753899480069326,19.562794950462223,0.129,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3243,1860.0,0.44962396265560167,1.0243142144638404,0.27158801644801256,19.408569726113086,0.145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3249,1867.0,0.41782547095555433,1.0108834827144686,0.2543929712460064,18.002684393373457,0.148,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3280,1845.0,0.4621930622320385,1.1786666666666665,0.27831018971249755,19.90063817973896,0.145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3284,1794.0,0.44359949302915086,1.0609675281643471,0.26835236541598695,18.79233122546106,0.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3291,1839.0,0.4599665953337857,1.1937879810938554,0.27712264150943394,19.767218431744563,0.126,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3294,1944.0,0.4768258942780893,1.246311738293778,0.2860815277267719,21.11196391144866,0.13,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3308,1874.0,0.4107873478808225,1.0478061558611658,0.2505498900219956,17.718324192698375,0.097,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3333,1767.0,0.49004522465144906,1.340333091962346,0.2930586117223445,20.720300822459954,0.146,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3342,1558.0,0.5371802851130671,1.3085188027628551,0.31756460797196673,21.458534003033662,0.145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3351,1715.0,0.41446145043627525,0.8662337662337662,0.2525604706907823,17.108991365086858,0.115,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3365,1850.0,0.3877921031426269,1.019489247311828,0.23789907312049433,16.576291185128564,0.095,"{""type"":""MultiPoint"",""coordinates"":[]}"
