system:index,B2,B8,GVI,RDVI,SGI,estimatefCOVER,.geo
0_2197,211.0,1339.0,2.7932011331444757,23.87639013543934,3.7612359550561796,0.261,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2251,235.0,1564.0,3.5999999999999996,28.02069913568349,4.586510263929619,0.325,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2279,273.0,1607.0,2.7546728971962615,25.341114409115473,3.5241228070175437,0.283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2281,208.0,1383.0,3.2553846153846155,25.790624007989884,4.335423197492163,0.326,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2285,236.0,1621.0,3.4779005524861875,26.78498823757297,3.9249394673123486,0.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2290,238.0,1483.0,3.0853994490358128,25.735084245443733,3.96524064171123,0.324,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2291,241.0,1645.0,3.306282722513089,27.186038697254414,3.9927184466019416,0.303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2292,240.0,1705.0,3.583333333333333,28.443593386746933,4.2625,0.3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2314,276.0,1861.0,3.2880184331797233,30.614378592426817,4.606435643564357,0.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2322,200.0,1248.0,3.538181818181818,24.83101472488319,4.489208633093525,0.288,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2324,200.0,1358.0,3.178461538461539,25.531854575923866,4.32484076433121,0.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2334,229.0,1506.0,3.5089820359281436,24.950696563203536,3.6464891041162226,0.263,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2335,270.0,1586.0,3.1194805194805193,26.613075555706374,3.965,0.333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2338,179.0,1194.0,3.279569892473118,22.928061409547908,3.9019607843137254,0.28,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2342,235.0,1221.0,3.00327868852459,24.051723662569042,4.2543554006968645,0.26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2344,257.0,1849.0,3.3815165876777256,30.193130187538728,4.476997578692494,0.34,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2346,277.0,1527.0,2.7890818858560795,24.365414586907534,3.4314606741573033,0.287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2353,242.0,1442.0,3.228739002932551,25.4276069047926,3.983425414364641,0.268,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2358,288.0,1840.0,3.1255605381165923,29.210390877244368,4.1441441441441444,0.331,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2372,270.0,1482.0,2.952,24.852253072078206,3.6774193548387095,0.287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2384,269.0,1627.0,3.2815789473684207,26.56334709837499,3.8372641509433962,0.279,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2386,272.0,1784.0,3.2375296912114013,29.98240694028333,4.609819121447028,0.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2400,218.0,1542.0,3.521994134897361,27.981774634437894,4.658610271903323,0.315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2415,266.0,1524.0,2.9278350515463916,24.690973487878946,3.5277777777777777,0.256,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2430,301.0,1763.0,2.891832229580574,27.444326032718212,3.7751605995717346,0.299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2432,178.0,1144.0,3.22140221402214,23.838531635803015,4.521739130434782,0.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2449,237.0,1643.0,3.6281690140845066,28.81496663718878,4.628169014084507,0.324,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2469,182.0,1206.0,3.5509433962264154,24.055617374591062,4.32258064516129,0.279,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2505,168.0,1067.0,3.16796875,22.368617169264226,4.200787401574803,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2512,230.0,1645.0,3.133165829145729,30.162782630797174,5.289389067524116,0.281,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2519,263.0,1416.0,2.786096256684492,23.333734701559234,3.3956834532374103,0.258,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2527,218.0,1347.0,2.9734513274336285,22.809348094699384,3.410126582278481,0.287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2533,190.0,1213.0,2.6646525679758306,23.606125722719636,4.097972972972973,0.237,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2534,169.0,1123.0,3.0250896057347667,22.33277503825019,3.9403508771929823,0.273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2541,234.0,1621.0,3.7536656891495603,28.183830436734574,4.441095890410959,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2555,175.0,1260.0,3.4522968197879855,24.405178072757543,4.242424242424242,0.257,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2581,227.0,1488.0,3.4819277108433733,25.75620263643162,3.9574468085106385,0.299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2582,236.0,1518.0,3.362068965517241,26.002062524355733,3.953125,0.34,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2607,231.0,1816.0,3.7664041994750654,30.898931073296637,4.894878706199461,0.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2631,228.0,1408.0,3.1533923303834808,25.35769198407866,4.069364161849711,0.298,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2638,197.0,1195.0,2.943894389438944,22.612919823669117,3.7816455696202533,0.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2653,268.0,1498.0,2.8508997429305913,24.761159153272605,3.6096385542168674,0.253,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2654,260.0,1601.0,3.1801566579634466,28.382140880932866,4.600574712643678,0.339,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2679,184.0,1389.0,3.35423197492163,28.535241153833567,5.836134453781512,0.304,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2721,206.0,1686.0,3.6833333333333336,30.94981437008861,5.527868852459016,0.336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2732,235.0,1497.0,2.8091603053435112,29.899554864392634,6.036290322580645,0.326,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2739,200.0,1511.0,3.3171428571428567,29.758956302699673,5.833976833976834,0.297,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2740,213.0,1449.0,3.5999999999999996,27.189136557781293,4.689320388349515,0.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
