system:index,EVI2,NDGI,NDVI,RDVI,SGI,estimateLAI,.geo
0_770,0.8563434787156154,0.03816131830008673,0.4697585464977289,30.38215831484059,2.7718665464382326,0.876,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_776,0.7549583535651588,0.009017132551848512,0.42385321100917434,26.179584454338364,2.4713375796178343,0.823,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_782,1.0298649506027373,0.045653533458411506,0.5436602870813397,31.438422382713092,3.382699868938401,0.941,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_786,0.8203578898442947,0.02522935779816514,0.4537275064267352,25.311326300187236,2.6611764705882353,0.811,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_793,0.9909494267315846,0.0454065469904963,0.5275672850796969,32.63676375769981,3.2334070796460175,1.043,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_844,0.893616116967018,0.050213675213675216,0.4861271676300578,28.59485785860383,2.892013498312711,0.903,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_855,0.9625280688622755,0.045089561457689935,0.5156641604010025,29.133884190407052,3.129366106080207,0.903,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_882,0.6602619458837077,0.009879253567508232,0.3790017211703959,20.427454442700537,2.220620842572062,0.526,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_922,0.9332964805601622,0.0324141267537494,0.5032290114257327,31.930267414297276,3.026,1.059,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_936,1.0350256189619431,0.04756756756756757,0.545759216292859,33.99076728895631,3.402951191827469,1.099,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_945,0.41028592846433926,-0.010456796917996699,0.25030624744793795,12.386998413077558,1.667755991285403,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1017,0.9450305098769263,0.033697632058287796,0.5082271147161066,33.384757937903665,3.066918001885014,0.979,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1026,0.8657375660521964,0.02556237218813906,0.4739166436654706,28.525688022791194,2.8016789087093388,0.812,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1045,0.5776243424198948,0.0,0.33814523184601925,22.864219392621866,2.0218109715796433,0.619,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1046,1.121772864597638,0.08792270531400966,0.5806308307418925,27.547858279359097,3.7690677966101696,1.014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1059,0.6287480112593318,9.25925925925926E-4,0.36360955470362727,21.17381828933016,2.142724745134384,0.438,"{""type"":""MultiPoint"",""coordinates"":[]}"
