system:index,B2,B8,GVI,RDVI,SGI,estimatefAPAR,.geo
0_3575,300.0,1423.0,2.952777777777778,24.68488452839308,3.7845744680851063,0.283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3576,476.0,2298.0,2.557275541795666,31.302227333506387,3.767213114754098,0.333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3720,236.0,1390.0,3.711864406779661,27.12959566785206,4.94661921708185,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3733,478.0,2061.0,2.1904024767801857,28.4459167671371,3.4638655462184875,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3741,237.0,1300.0,3.166666666666667,25.296246022948765,4.4673539518900345,0.239,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3761,263.0,1177.0,2.2246575342465755,20.42162042163063,3.155495978552279,0.271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3767,271.0,1593.0,3.449720670391062,28.589791286455885,4.72700296735905,0.346,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3852,247.0,1340.0,3.1486068111455108,24.23947047242127,3.8840579710144927,0.259,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3889,243.0,1181.0,3.202846975088968,22.657394529859793,3.8469055374592833,0.231,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3941,276.0,1802.0,3.8181818181818183,28.325859136785663,3.9517543859649122,0.325,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3949,771.0,2416.0,1.5811965811965814,26.51873150535598,2.7115600448933783,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3961,275.0,1818.0,3.8739946380697052,31.58552563062519,5.224137931034483,0.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3970,255.0,1245.0,3.068627450980392,24.208241593287216,4.220338983050848,0.292,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3979,383.0,1803.0,2.5422396856581533,26.6991217729774,3.4874274661508706,0.226,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3980,236.0,1547.0,3.7453987730061353,29.171550700120974,5.244067796610169,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3981,319.0,1580.0,2.863080684596577,26.78172476389963,4.040920716112532,0.243,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3982,530.0,2030.0,2.066465256797583,25.860844258404715,2.9721815519765737,0.255,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4038,539.0,2055.0,1.9525862068965516,25.69681083240723,2.9148936170212765,0.227,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4084,275.0,1371.0,2.7459016393442623,24.206722163974938,3.7768595041322315,0.225,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4094,473.0,1976.0,2.1768488745980705,26.61382798008334,3.1870967741935483,0.285,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4097,270.0,1555.0,2.8300492610837438,28.952712098918447,5.0816993464052285,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4114,418.0,2117.0,2.5820642978003385,32.096947063194676,4.401247401247401,0.343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4123,245.0,1668.0,3.265984654731458,29.99331922940163,5.085365853658536,0.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4141,396.0,1986.0,2.782857142857143,28.898878533326084,3.7121495327102805,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4156,217.0,1242.0,3.2534246575342465,24.355962980833052,4.29757785467128,0.264,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4186,352.0,1735.0,2.4909456740442657,29.895850962330954,4.7534246575342465,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4226,286.0,1583.0,2.977386934673367,27.122750312632103,4.15485564304462,0.237,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4254,277.0,1739.0,3.7774725274725274,30.770484819560913,5.160237388724036,0.316,"{""type"":""MultiPoint"",""coordinates"":[]}"
