system:index,EVI2,GVI,MSR,NDGI,SGI,estimateLAI,.geo
1_1654,1.1668416531449841,2.690677966101695,0.9942840694774877,0.03736263736263736,3.9771689497716896,1.401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1666,1.2566279736314132,3.2116279069767444,1.1068283010715605,0.026252983293556086,4.438725490196078,1.346,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1695,1.3381619296077623,4.010238907849829,1.2176390481937547,-0.009298393913778529,4.917922948073702,1.642,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1749,1.5623027395530866,4.293939393939394,1.5822352587046962,0.11486486486486487,6.6679389312977095,1.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1771,1.2755830556877679,3.405448717948718,1.1316194906438066,0.015459723352318959,4.5438016528925615,1.365,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1824,1.3817324518763368,3.3575851393188856,1.281080264239705,0.08845829823083404,5.203327171903882,1.453,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1889,1.2589792535289095,3.4818024263431546,1.1097266751211465,-0.0034542314335060447,4.450946643717728,1.419,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1892,1.384979829252275,3.5927672955974845,1.2859139319913757,0.06443514644351464,5.225402504472272,1.382,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1901,1.207416142557652,2.8830128205128207,1.0439144323812952,0.036544850498338874,4.177586206896552,1.417,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1920,1.5035596642227183,3.7043478260869565,1.4766483093230176,0.13188976377952755,6.133786848072562,1.604,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1923,1.577729044834308,3.9269480519480515,1.6115559957812742,0.16116870876531575,6.820224719101123,1.632,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2014,1.5593214777872564,3.431683168316832,1.5770039881412956,0.1995249406175772,6.640949554896142,1.673,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2051,1.4296754250386399,3.3110504774897684,1.354540220323876,0.12509593246354567,5.543859649122807,1.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2067,1.3023300887242657,3.346534653465347,1.1676662008735998,0.038941954445260836,4.698776758409786,1.303,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2142,1.537094533867146,3.977653631284916,1.5363779285409918,0.12755905511811025,6.433212996389892,1.677,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2149,1.4111769816527828,3.8828828828828827,1.3257647423431604,0.05113636363636364,5.409181636726547,1.405,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2166,1.4545974818771463,3.701818181818182,1.3945614654824363,0.0989010989010989,5.733924611973393,1.439,"{""type"":""MultiPoint"",""coordinates"":[]}"
