system:index,B4,EVI2,NDGI,NDVI,RDVI,estimatefAPAR,.geo
1_7202,1564.0,0.6363356039581757,-0.192527640106748,0.3673139158576052,25.82715762908127,0.298,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7208,1288.0,0.8212993622761835,-0.10321199143468951,0.45412163593981775,31.195875782209246,0.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7285,1153.0,0.6328330349320026,-0.18865979381443299,0.3656121045392022,22.043105201686075,0.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7362,1446.0,0.7054332593717155,-0.14489311163895488,0.4006217616580311,27.82807692394453,0.274,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7392,1086.0,0.6501182033096928,-0.11556240369799692,0.3740634005763689,22.034842725740678,0.191,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7413,1299.0,0.7929392852726598,-0.10178117048346055,0.44129032258064516,30.091988002381694,0.307,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7440,1453.0,0.7451130810319355,-0.12244109694862881,0.41926458832933655,29.65833957447632,0.332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7467,1403.0,0.6228164048975481,-0.17651991614255766,0.36067441330599226,23.894509751476086,0.209,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7522,2026.0,0.44159476061859126,-0.20883054892601433,0.26726943942133813,19.87521651365685,0.206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7527,1237.0,0.5267552253367856,-0.10941704035874439,0.31220461495690854,18.724470155297006,0.17,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7585,1354.0,0.6612784717119764,-0.1687526974536038,0.3794683776351971,25.067900457834245,0.22,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7623,1460.0,0.5504947384953667,-0.16940328394072887,0.3243868579361407,21.325814751761985,0.267,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7625,1668.0,0.6195963507134143,-0.20563787495482472,0.3590778097982709,25.9059148943435,0.325,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7715,1174.0,0.6720873164121157,-0.1745872936468234,0.38469601677148846,23.764127432341063,0.233,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7728,1417.0,0.7157350632423947,-0.1268389662027833,0.40549611915250683,27.996856936481205,0.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7739,1894.0,0.39236347452746223,-0.2160513643659711,0.24042510527371164,16.97850703752189,0.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7750,908.0,0.7728960672900542,-0.02367531003382187,0.43214509068167606,24.438177414080542,0.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7763,1010.0,0.68446088794926,-0.10684931506849316,0.39064856711915535,22.491996230199447,0.23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7790,2005.0,0.4937617702448211,-0.1711448598130841,0.2950070323488045,22.24908538078125,0.205,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7800,1450.0,0.4630700594844679,-0.13904163393558522,0.2787863715493658,17.678221700918876,0.195,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7829,1412.0,0.6064860090223667,-0.19256756756756757,0.35259055479138013,23.286997944542843,0.209,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7835,1687.0,0.5481232477748442,-0.18928445541064504,0.32316950852557674,22.817232045861832,0.215,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7880,1963.0,0.5595800097672147,-0.14294032023289666,0.3290035891300632,25.166086487083597,0.255,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7937,1644.0,0.485979018963629,-0.21194249907851087,0.29092085400043133,19.8104071650883,0.195,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7964,1214.0,0.8047827086686594,-0.11580882352941177,0.44667274384685507,29.58848725331925,0.265,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8005,1360.0,0.7387661843107387,-0.13286130778842148,0.41630901287553645,28.41899866248881,0.291,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8046,1351.0,0.7547786185310117,-0.13624894869638352,0.4237577308594583,29.017350175674963,0.285,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8065,1836.0,0.6122708141841228,-0.17203957867858283,0.35545023696682465,26.828841381204292,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8075,1161.0,0.8579532222111321,-0.075,0.47046750285062716,31.154044013271275,0.278,"{""type"":""MultiPoint"",""coordinates"":[]}"
