system:index,B8,EVI,GVI,RDVI,SGI,estimatefAPAR,.geo
0_1315,1631.0,8.345070422535212,3.972560975609756,33.15054593294315,7.803827751196172,0.385,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1325,1447.0,5.885466794995188,3.775577557755776,29.918390894303936,6.459821428571429,0.349,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1328,1764.0,6.9981412639405205,3.7675675675675677,33.49148436875487,6.837209302325581,0.366,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1341,1396.0,9.43217665615142,3.5921052631578947,29.93744522444118,6.98,0.357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1350,1283.0,6.793020457280385,4.368200836820083,29.782802246815688,8.331168831168831,0.353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1357,1362.0,6.220302375809935,3.729166666666667,29.055356484786333,6.485714285714286,0.325,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1368,1301.0,5.637982195845698,4.536170212765957,29.814749515058665,8.080745341614907,0.345,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1375,1596.0,7.200413223140496,4.148387096774194,32.875164155369504,7.900990099009901,0.377,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1430,1518.0,9.470246734397678,3.6422018348623855,31.36620508589568,7.126760563380282,0.369,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1453,1538.0,8.592171717171716,4.2312925170068025,32.86442687672889,8.689265536723164,0.401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1459,1470.0,8.148614609571789,4.176056338028169,31.894761641531506,8.352272727272727,0.397,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1470,1502.0,6.38728323699422,4.522058823529412,32.370361228364864,8.534090909090908,0.39,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1496,1754.0,5.758676351896691,3.2469733656174338,31.28152614472792,5.363914373088685,0.382,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1499,1588.0,8.82842509603073,3.856269113149847,32.530461731372895,7.598086124401914,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1508,1599.0,5.913930789707187,3.5555555555555554,30.866737695755155,6.011278195488722,0.363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1512,1577.0,5.514354066985646,4.592198581560283,32.86343076847953,8.128865979381443,0.398,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1520,1544.0,8.906455862977602,3.9967637540453076,32.44903838584278,8.041666666666666,0.395,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1525,1501.0,6.550348953140578,4.303886925795053,31.98225959668817,8.026737967914439,0.371,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1532,1640.0,5.667466027178257,4.23961661341853,32.8614250233459,7.387387387387387,0.381,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1538,1919.0,6.81701030927835,3.3220720720720722,33.4494652558094,5.780120481927711,0.395,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1562,1399.0,8.938953488372093,4.068840579710145,31.06219074498048,8.278106508875739,0.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1566,1480.0,8.017135862913097,4.304659498207886,32.249970636585175,8.705882352941176,0.403,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1567,1537.0,7.852028639618139,3.714723926380368,31.386757640386122,6.95475113122172,0.382,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1568,1495.0,9.639175257731958,3.9339933993399336,31.926829268292682,8.03763440860215,0.379,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1581,1633.0,7.678958785249458,3.9484848484848483,32.92133129224962,7.525345622119816,0.389,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1586,1865.0,4.432497013142174,3.2194570135746607,31.313313422675,4.89501312335958,0.364,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1587,1564.0,9.06498673740053,3.9493670886075947,32.57533094625146,7.939086294416244,0.403,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1621,1516.0,7.241758241758242,4.053333333333334,31.835377311120777,7.656565656565657,0.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1622,1526.0,5.760309278350515,4.569343065693431,32.41931043484298,8.248648648648649,0.395,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1644,1535.0,7.122641509433962,4.443262411347518,32.854468964169726,8.721590909090908,0.397,"{""type"":""MultiPoint"",""coordinates"":[]}"
