system:index,B8,GVI,NDGI,RDVI,SGI,estimatefAPAR,.geo
7_8950,2769.0,7.835913312693499,0.30505050505050507,48.75557825627512,16.593023255813954,0.625,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8961,2885.0,5.709750566893424,0.31054977711738485,48.27493924073166,12.754310344827585,0.612,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8966,2740.0,7.915094339622641,0.25443786982248523,48.11704479703632,15.0,0.619,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8987,2776.0,8.86159169550173,0.2930648769574944,49.08356963904152,18.037974683544302,0.631,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8992,2784.0,8.573770491803279,0.2951167728237792,49.575371239870364,17.59036144578313,0.643,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9005,3474.0,6.091858037578288,0.3177441540577717,52.1583560084951,13.69758064516129,0.651,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9015,3066.0,6.209134615384615,0.34846029173419774,49.462119343999,14.92039800995025,0.631,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9017,2844.0,8.246753246753247,0.3247311827956989,49.089822253889544,18.14012738853503,0.633,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9026,2993.0,7.267379679144385,0.3262411347517731,50.655676507790446,16.273684210526316,0.648,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9034,2544.0,8.87360594795539,0.32839506172839505,47.69170333858127,19.529411764705884,0.616,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9070,3018.0,8.751655629139073,0.30735930735930733,49.9797865743997,18.40625,0.635,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9087,2786.0,8.06269592476489,0.31006160164271046,49.2331816815621,17.208333333333332,0.637,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9105,2929.0,6.765432098765432,0.308562197092084,50.57208002798237,14.69626168224299,0.641,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9176,2637.0,8.652329749103943,0.3191489361702128,47.856415635189485,18.70138888888889,0.625,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9192,3043.0,7.589595375722544,0.33849129593810445,49.96212692260617,17.380116959064328,0.645,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9243,3071.0,7.358126721763085,0.2872340425531915,49.80918458100294,15.09452736318408,0.634,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9247,3258.0,5.987315010570825,0.2835820895522388,50.9029727677361,12.518939393939394,0.625,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9264,2965.0,6.3317422434367545,0.2852760736196319,49.38324913376564,13.184549356223176,0.628,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9272,2609.0,7.870550161812298,0.35824175824175825,48.29631219960532,18.773972602739725,0.634,"{""type"":""MultiPoint"",""coordinates"":[]}"
