system:index,B4,B8,GVI,NDGI,RDVI,estimatefAPAR,.geo
0_1798,188.0,991.0,1.906158357771261,0.2892249527410208,23.386145249960446,0.269,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1916,813.0,1841.0,1.6489208633093524,-0.07824933687002653,19.954582946221873,0.236,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1924,85.0,835.0,5.374045801526718,0.21296296296296297,24.726767752342013,0.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1963,675.0,2497.0,2.41120218579235,0.04051172707889126,32.35055854360522,0.348,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2011,733.0,2421.0,2.6515837104072397,-0.050143266475644696,30.056720845381182,0.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2023,171.0,905.0,3.040178571428571,0.1341772151898734,22.376384923183707,0.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2041,112.0,865.0,3.6010638297872344,0.25333333333333335,24.090604308884544,0.288,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2055,81.0,1096.0,6.506849315068493,0.28634361233480177,29.585424894451265,0.379,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2080,652.0,2434.0,2.779503105590062,-0.006172839506172839,32.078181390504355,0.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2081,991.0,1773.0,1.207970112079701,-0.10479375696767002,14.87434100256183,0.144,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2082,339.0,1424.0,2.423076923076923,0.10198675496688742,25.840658821452596,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2089,875.0,2185.0,1.3024236037934669,0.04057017543859649,23.681574978536634,0.342,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2106,828.0,1816.0,1.2092457420924574,-0.0036363636363636364,19.214373087135026,0.254,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2112,848.0,1966.0,1.4182041820418205,-0.02107164358819988,21.07559076139314,0.22,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2138,111.0,922.0,4.209039548022599,0.22916666666666666,25.233104916690085,0.307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2146,160.0,1041.0,3.3016528925619832,0.20398009950248755,25.42168919313073,0.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2147,397.0,1681.0,3.377604166666667,-0.016645326504481434,28.167107555213207,0.358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2159,689.0,2199.0,2.1594827586206895,0.005054151624548736,28.098190515570703,0.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2177,998.0,1810.0,1.2998729351969502,-0.11820728291316526,15.323482528756863,0.148,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2183,362.0,2015.0,3.610983981693364,0.09386733416770963,33.90457171491871,0.359,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2206,84.0,1006.0,5.662251655629139,0.2851063829787234,27.92657476278914,0.344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2216,782.0,2714.0,2.5570117955439056,-0.012297734627831715,32.675437419050965,0.355,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2224,792.0,2621.0,2.490013315579228,-0.026571613739468567,31.30729614129708,0.349,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2249,830.0,2444.0,2.1373555840821568,-0.031696706028589185,28.207473762351654,0.28,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2260,70.0,838.0,5.868852459016393,0.2708333333333333,25.486975165438924,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2292,158.0,911.0,2.9608695652173913,0.18556701030927836,23.030646195279093,0.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2295,383.0,1996.0,2.7803030303030303,0.15916575192096596,33.070224743823225,0.336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2302,661.0,2148.0,2.5979899497487438,-0.05087440381558029,28.056603773584907,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2315,427.0,2017.0,3.2196652719665275,0.056353591160221,32.162257413993714,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2324,422.0,2047.0,3.498901098901099,0.037628278221208664,32.70339352662272,0.368,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2350,127.0,1072.0,4.280788177339901,0.23030303030303031,27.29117391168614,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2380,495.0,1577.0,1.1872399445214978,0.18585526315789475,23.7701753363587,0.292,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2390,985.0,2342.0,1.2938295788442704,0.01794616151545364,23.526290060603046,0.339,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2408,857.0,2262.0,1.7652811735941318,-0.023283582089552238,25.157566935104455,0.293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2461,84.0,935.0,5.824817518248175,0.2398190045248869,26.65891488574097,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2463,70.0,871.0,6.38135593220339,0.2553191489361702,26.111853733884278,0.336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2531,777.0,2353.0,2.096052631578947,-0.011060507482108002,28.169818212884596,0.309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2568,638.0,2384.0,3.439478584729981,-0.08595744680851064,31.761207811437163,0.341,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2570,1062.0,2070.0,1.4909747292418771,-0.12202852614896989,18.011490585274956,0.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2620,214.0,1046.0,2.670175438596491,0.14228456913827656,23.43894466447086,0.26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2654,181.0,1417.0,4.347169811320755,0.18834080717488788,30.919330624349264,0.374,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2716,404.0,1249.0,1.8979118329466358,0.032335329341317366,20.783576395603657,0.256,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2736,244.0,1406.0,3.2996941896024463,0.14535901926444833,28.606462503596926,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2744,92.0,830.0,4.354838709677419,0.2550607287449393,24.30473561954114,0.278,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2776,666.0,2244.0,2.573248407643312,-0.02936630602782071,29.252332711634555,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2787,1015.0,1794.0,1.2148148148148148,-0.11232876712328767,14.69811320754717,0.133,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2788,507.0,2080.0,2.9543726235741445,0.018393030009680542,30.926481147730087,0.327,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2830,983.0,2695.0,1.730496453900709,0.0020304568527918783,28.229156270251654,0.326,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2836,975.0,2164.0,1.1726907630522088,0.0106544901065449,21.221994457204946,0.331,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2841,95.0,887.0,5.427536231884058,0.18454935622317598,25.27373559239507,0.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2847,608.0,2394.0,2.6327769347496206,0.04025256511444357,32.59688577188496,0.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2866,123.0,1154.0,4.106194690265487,0.29512893982808025,28.851155842047007,0.355,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2892,598.0,2230.0,2.7416107382550337,-0.0016750418760469012,30.68883850933974,0.346,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2919,199.0,1279.0,3.3951890034364265,0.18775510204081633,28.092250892666268,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2925,949.0,2171.0,1.352112676056338,-0.013888888888888888,21.877309401904675,0.278,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2944,1015.0,2026.0,1.1236897274633124,-0.030980192991366177,18.3333971080971,0.212,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2960,81.0,1029.0,4.88,0.3671875,28.45423067389528,0.339,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2971,263.0,1384.0,2.943019943019943,0.14332247557003258,27.622234824669203,0.345,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3008,162.0,1053.0,3.3875,0.19402985074626866,25.561690084968955,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3010,732.0,2722.0,2.5721784776902887,0.020080321285140562,33.86038640102036,0.377,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3014,1220.0,2625.0,1.6758409785932722,-0.10858700590640617,22.658343279155403,0.174,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3023,172.0,976.0,3.0,0.17307692307692307,23.729309711258402,0.278,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3025,512.0,2154.0,2.566225165562914,0.08243727598566308,31.80116866692395,0.34,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3047,679.0,2030.0,2.171875,-0.029567854435178165,25.956781810614046,0.245,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3048,649.0,2628.0,2.9400299850074965,0.013677811550151976,34.57065224939252,0.36,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3056,709.0,2177.0,2.0661971830985917,7.047216349541931E-4,27.326115031532797,0.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3058,968.0,2664.0,2.0904872389791183,-0.05792349726775956,28.14186841183881,0.244,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3095,553.0,1041.0,1.1869747899159662,-0.07482993197278912,12.222939537649232,0.064,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3105,865.0,2398.0,1.6674082313681868,0.01927437641723356,26.836978481866453,0.332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3111,723.0,2253.0,2.2510822510822512,-0.0211864406779661,28.046260747833816,0.291,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3112,775.0,2504.0,2.6184971098265897,-0.05657805044308112,30.19425266793423,0.293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3134,105.0,1189.0,4.771844660194175,0.3247588424437299,30.13437191883735,0.374,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3140,859.0,2277.0,1.6323699421965316,0.0034802784222737818,25.321428571428573,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3151,824.0,2289.0,2.127049180327869,-0.05912596401028278,26.25717897029909,0.206,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3156,77.0,959.0,7.0588235294117645,0.21428571428571427,27.402406680652923,0.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3163,524.0,2211.0,2.773037542662116,0.055855855855855854,32.25792421388372,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
