system:index,EVI2,GVI,NDGI,RDVI,SGI,estimateLAI,.geo
6_2540,1.702071163037706,4.631917631917632,0.188982402448355,54.90924951988819,8.256603773584906,2.56,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2557,1.9553175775480058,5.765748031496063,0.3229166666666667,52.250745297031045,13.21923076923077,2.601,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2560,2.014432759006489,5.788732394366197,0.38031591737545567,56.162881670619804,15.12156862745098,2.734,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2578,1.7385976129582268,5.0476190476190474,0.1836734693877551,50.94086501036177,8.769047619047619,2.586,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2650,1.9397308367466355,4.731075697211155,0.3810178817056396,47.615968584253686,12.786666666666667,2.563,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2668,1.799389733157832,5.582651391162029,0.193359375,54.19261027014449,9.738498789346247,2.741,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2721,1.7795122139466677,5.2926829268292686,0.19817351598173516,54.58749302330837,9.403189066059225,2.745,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2742,1.7423454923454922,5.082266910420476,0.18398268398268397,48.47150751768215,8.824933687002652,2.632,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2751,1.8400987262550133,5.247038917089679,0.25344644750795337,52.521956220823654,10.488636363636363,2.555,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2820,1.9112582388219228,5.530232558139535,0.2971342383107089,46.694854157616255,12.051502145922747,2.8,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2828,1.7150331151781169,4.981927710843373,0.17004405286343613,52.52353576814984,8.433121019108281,2.68,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2846,1.942156214298599,5.226666666666667,0.3473053892215569,47.0206943309458,12.853211009174313,2.77,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2857,1.9967661911934083,5.842756183745583,0.3589435774309724,56.04353897524286,14.50561797752809,2.592,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2867,1.971781832685213,5.051418439716312,0.3874538745387454,52.28502317375052,13.706827309236948,2.686,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2869,1.9689097806366485,5.84070796460177,0.33136966126656847,49.730290949309584,13.62114537444934,2.631,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2958,1.8670746829873195,4.994160583941606,0.2961210974456008,55.7997520328869,11.03763440860215,2.717,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3136,1.8542767100181987,5.191596638655462,0.2700106723585913,52.67075700818435,10.771929824561404,2.615,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3163,1.8841502871471327,5.642276422764228,0.2641315519013361,55.914086777462,11.410614525139664,2.597,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3208,1.7379878282333916,4.996747967479675,0.18725868725868725,50.96606031435922,8.760095011876485,2.696,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3241,1.8526856062311468,6.159763313609467,0.2,52.26055226057839,10.7396449704142,2.768,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3323,1.8167559143222505,5.242658423493045,0.23355576739752146,54.57615235810249,10.04726368159204,2.782,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3328,1.820357772738725,5.323943661971831,0.23050259965337955,57.600506967547815,10.112612612612613,2.732,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3414,1.8914603895075737,5.06963249516441,0.31218274111675126,49.10369712437039,11.579335793357934,2.722,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3449,1.9756494372432922,5.349900596421471,0.37057220708446864,50.62923479629525,13.826839826839826,2.772,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3476,1.9080706030348296,4.984463276836158,0.3333333333333333,57.30780100266693,11.968926553672317,2.683,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3488,2.026758675470387,5.254480286738351,0.42710997442455245,53.59141581652019,15.580357142857142,2.738,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3499,1.9461436967734196,5.364253393665158,0.34142640364188165,47.161040026378096,12.963133640552995,2.632,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3502,1.7979866421450006,4.65358361774744,0.26429341963322545,49.16596114269341,9.715542521994134,2.583,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3551,1.917794018555953,6.394495412844036,0.24571428571428572,50.11912414941613,12.212121212121213,2.801,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3554,2.024491549699227,5.2309278350515465,0.4264705882352941,49.842552849986205,15.497435897435897,2.717,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3619,1.712576675429573,5.056379821958457,0.16206896551724137,53.20551305987917,8.39917695473251,2.581,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3639,1.9609074167085216,5.463829787234043,0.3486370157819225,49.19480606058365,13.383259911894273,2.783,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3649,1.947449768160742,5.204545454545454,0.35384615384615387,46.47580015448901,13.0,2.615,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3702,1.8878056840713815,5.454154727793696,0.28073394495412846,58.77513800110735,11.49234693877551,2.729,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3712,1.9677598665925513,6.176056338028169,0.3087557603686636,49.43379595798158,13.586666666666666,2.689,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3714,1.9309593023255813,4.832323232323232,0.36551724137931035,47.59081621086465,12.552173913043479,2.793,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3730,1.6968587396415493,5.088012139605463,0.14708442123585727,52.491212693554544,8.187755102040816,2.566,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3745,1.7463621433754726,5.293129770992366,0.17068811438784628,54.01652926585852,8.883620689655173,2.67,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3753,1.898397016804688,5.567049808429119,0.28255528255528256,51.41674552546191,11.73972602739726,2.678,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3758,1.7618866649776201,5.730700179533214,0.15082644628099173,51.75349300734723,9.121654501216545,2.578,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3772,1.9796115368864449,5.0,0.3985611510791367,48.42428812073545,13.952153110047847,2.754,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3776,1.912651398952769,5.3717171717171714,0.30952380952380953,49.505457646098314,12.084291187739463,2.692,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3806,1.89443825346976,5.949044585987261,0.2526595744680851,50.188345316691425,11.647686832740213,2.556,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3828,1.778136897208122,5.454983922829582,0.18476190476190477,53.81374544425978,9.380841121495328,2.612,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3860,1.9861045193271107,5.210727969348659,0.39014647137150466,51.141307223448955,14.157205240174672,2.768,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3867,1.8241914774095178,5.401587301587302,0.22807017543859648,54.65003707472791,10.184343434343434,2.659,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3882,1.931673933440035,5.182926829268292,0.3405994550408719,48.860336893184325,12.570247933884298,2.729,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3937,2.0358170947741363,5.868708971553611,0.39755351681957185,50.93656420628984,15.934010152284264,2.765,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3940,1.9439101657521072,5.711711711711712,0.31555555555555553,48.51260403155187,12.9004329004329,2.628,"{""type"":""MultiPoint"",""coordinates"":[]}"
