system:index,EVI2,GI,MSR,RDVI,SGI,estimatefAPAR,.geo
9_2188,2.0117159249795096,1.911764705882353,2.87623658772702,54.05003605440941,15.025210084033613,0.696,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2202,1.672978013903804,1.7122093023255813,1.807796454558727,42.83561663331136,7.883720930232558,0.528,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2212,1.8978636753358102,1.8888888888888888,2.425247908155442,42.32261673557404,11.732323232323232,0.546,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2237,1.842281025380065,1.9012345679012346,2.2457633037343174,43.76374561091109,10.534979423868313,0.581,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2308,1.8447837150127224,1.9915254237288136,2.2534206249287636,43.26068037739854,10.584745762711865,0.545,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2311,1.6824612920448478,1.45,1.8289181285038594,44.282622240793586,8.002777777777778,0.542,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2312,1.921818521749969,1.9174311926605505,2.5094891026284563,45.787362931299604,12.31651376146789,0.603,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2329,1.8367610917087052,1.8174273858921162,2.2291463101129656,43.2938650493089,10.427385892116183,0.572,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2338,2.036906256539025,2.076923076923077,2.9969940628504235,52.421469634282055,15.975961538461538,0.659,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2352,1.9548416426731325,2.0,2.6349714925263568,42.11367986343986,13.21301775147929,0.534,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2355,1.7450246931690383,1.5068870523415978,1.9774172992888792,47.70939969570159,8.865013774104684,0.588,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2373,1.6821946169772257,1.72,1.82842712474619,42.06476488041321,8.0,0.536,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2416,1.8223704761479762,1.6414565826330532,2.186104283321825,51.77892691087949,10.15126050420168,0.571,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2445,1.75754564650354,1.6441281138790036,2.009474954502755,42.588303834457975,9.05693950177936,0.536,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2448,1.9982650096836667,2.0684931506849313,2.816869548554801,41.551313560475656,14.568493150684931,0.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2456,1.8551554375484014,1.9306569343065694,2.285113514464867,47.201108029317446,10.791970802919709,0.625,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2506,1.912189322312178,1.9344262295081966,2.474733154042664,47.83987135785432,12.073770491803279,0.598,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2597,1.7815230147346461,1.718146718146718,2.0724834320390473,42.03846153846154,9.44015444015444,0.535,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2694,1.6081363004172462,1.528061224489796,1.6711802787593077,42.58805645394378,7.135204081632653,0.533,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2714,1.8088842421317894,1.778877887788779,2.1476325641783394,46.94800613315726,9.907590759075907,0.563,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2726,1.7861631268065854,1.7415730337078652,2.0849398588277652,42.91329959408018,9.51685393258427,0.554,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2765,1.948662149463376,2.0114503816793894,2.609783144614789,51.98744303061852,13.030534351145038,0.648,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2779,1.7882839669025064,1.7168458781362008,2.0906263646977576,43.97456342319807,9.551971326164875,0.548,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2780,2.0378289473684212,2.296969696969697,3.0022720819781625,46.7630415101718,16.01818181818182,0.592,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2805,1.8309310479158554,1.715170278637771,2.211338272193076,49.76151114307597,10.312693498452012,0.621,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2873,1.7095357590966123,1.8135048231511255,1.8913887004972791,42.425277331411756,8.360128617363344,0.561,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2888,1.7379090720795358,1.6213872832369942,1.9597492473073486,46.20391324392787,8.760115606936417,0.574,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2951,2.0332631318136767,2.225988700564972,2.979467073879415,48.104598002616015,15.836158192090396,0.634,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2980,1.7614443689380366,1.7722419928825623,2.019509516861957,42.779613390528944,9.117437722419929,0.542,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3024,1.7617155545167698,1.771043771043771,2.0201344541612913,43.99292267523246,9.121212121212121,0.552,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3027,1.994240460763139,2.1515151515151514,2.7987238686568188,43.91779795503376,14.43030303030303,0.573,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3040,1.761104783599089,1.7508196721311475,2.01852205720549,44.54946681515858,9.111475409836066,0.559,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3101,1.6265124177457015,1.5478036175710594,1.7084898583272374,43.17061984561872,7.335917312661499,0.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3109,1.9479417973462,2.11046511627907,2.607969215565055,42.09610087448134,13.017441860465116,0.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3125,1.7810633972811587,1.8270676691729324,2.0712099939710518,42.579227689457106,9.43233082706767,0.549,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3136,1.852373794312915,1.8106995884773662,2.2766790374406964,44.30369817305612,10.736625514403292,0.565,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3140,1.6804126311541565,1.5157068062827226,1.8242591578281049,45.51069532256208,7.976439790575916,0.528,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3162,1.955674703609964,2.0989583333333335,2.6379080527138123,44.93277085621011,13.234375,0.587,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3196,1.8051150549969632,1.7768595041322315,2.1373516230431635,41.776481305202125,9.84297520661157,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3250,1.8902643024422883,1.8988326848249026,2.3989011728615144,47.748254902658225,11.552529182879377,0.591,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3251,1.714879378271898,1.54093567251462,1.9039195130050859,44.755185826901624,8.432748538011696,0.534,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3254,1.7100360926766793,1.5015673981191222,1.8925371492643974,42.991001829295385,8.366771159874608,0.538,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3256,1.9184482514512249,2.243523316062176,2.4975935472495454,42.89916424446895,12.233160621761659,0.56,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3316,1.6447368421052633,1.5106382978723405,1.7463709129484608,48.52911208543535,7.542553191489362,0.547,"{""type"":""MultiPoint"",""coordinates"":[]}"
